Name,CLs,CDs,CMs,Xtr_Top,Xtr_Bot,CLmax,Score,Failure_Reason
s2048.dat,"[0.1, 0.3]","[array([0.00490747, 0.00434114])]","[array([-0.07297218, -0.07107123])]","[array([0.88272341, 0.78429465])]","[array([0.44705121, 0.71596029])]",1.1764136528641378,-8.216347778056036,None
rg12a189.dat,"[0.1, 0.3]","[array([0.00450726, 0.00458371])]","[array([-0.06016123, -0.05699761])]","[array([0.83115373, 0.66295284])]","[array([0.60857244, 0.81524137])]",1.2128546025354492,-8.282610873925213,None
rg12a.dat,"[0.1, 0.3]","[array([0.0045077 , 0.00458324])]","[array([-0.06015268, -0.05699867])]","[array([0.83070763, 0.66312774])]","[array([0.60866843, 0.81523926])]",1.212832012616615,-8.283064566888934,None
rg149.dat,"[0.1, 0.3]","[array([0.00447798, 0.00459298])]","[array([-0.04303924, -0.0377596 ])]","[array([0.76667814, 0.61286651])]","[array([0.66398071, 0.89956138])]",1.230166333250321,-8.359452497956893,None
hq2090sm.dat,"[0.1, 0.3]","[array([0.00479117, 0.00455331])]","[array([-0.060809  , -0.06122441])]","[array([0.78703902, 0.72733213])]","[array([0.58634822, 0.71649988])]",1.2109501425028608,-8.401178140438523,None
rg14.dat,"[0.1, 0.3]","[array([0.00435725, 0.00448814])]","[array([-0.04388214, -0.03844128])]","[array([0.77942871, 0.62259118])]","[array([0.68123909, 0.91373181])]",1.0843551237811335,-8.466043314007617,None
giiii.dat,"[0.1, 0.3]","[array([0.0042626 , 0.00452903])]","[array([-0.01674814, -0.013957  ])]","[array([0.75802687, 0.60911358])]","[array([0.79259056, 0.93782421])]",1.087253240199785,-8.467919454447397,None
hq209.dat,"[0.1, 0.3]","[array([0.00480007, 0.00454937])]","[array([-0.06026921, -0.06046456])]","[array([0.78905304, 0.72694606])]","[array([0.58978824, 0.71953449])]",1.1970473618385464,-8.489494302065612,None
s6061.dat,"[0.1, 0.3]","[array([0.00453395, 0.00448841])]","[array([-0.03556233, -0.03333178])]","[array([0.71707532, 0.61988914])]","[array([0.68044481, 0.91951986])]",1.1650517090799004,-8.50666336004075,None
hq1585.dat,"[0.1, 0.3]","[array([0.00457077, 0.00448899])]","[array([-0.04553152, -0.04555278])]","[array([0.7722738 , 0.70649817])]","[array([0.65005325, 0.7545599 ])]",1.0791272800754346,-8.526599212923806,None
sd8000.dat,"[0.1, 0.3]","[array([0.00515663, 0.0045991 ])]","[array([-0.05075549, -0.04793638])]","[array([0.79085152, 0.63956827])]","[array([0.41334581, 0.77182441])]",1.3141534802796482,-8.571314918122829,None
rg15.dat,"[0.1, 0.3]","[array([0.00477479, 0.00452967])]","[array([-0.06471037, -0.06187579])]","[array([0.84094225, 0.6868344 ])]","[array([0.52080243, 0.75990436])]",1.178700184433956,-8.576287914631457,None
ag53.dat,"[0.1, 0.3]","[array([0.00495198, 0.00448829])]","[array([-0.04462125, -0.04164709])]","[array([0.74789231, 0.60313349])]","[array([0.50122891, 0.96624341])]",1.1668579940739245,-8.586866339291845,None
giiij.dat,"[0.1, 0.3]","[array([0.00451994, 0.0047214 ])]","[array([-0.01734202, -0.01360356])]","[array([0.74918846, 0.55847352])]","[array([0.7367286 , 0.94165194])]",1.2006213898114073,-8.62753497737814,None
ag52.dat,"[0.1, 0.3]","[array([0.0049022 , 0.00448422])]","[array([-0.04542153, -0.04210701])]","[array([0.75504281, 0.61384212])]","[array([0.52280725, 0.95336963])]",1.1725622192948038,-8.631894872046706,None
s2050.dat,"[0.1, 0.3]","[array([0.00457729, 0.00479995])]","[array([-0.0633108 , -0.06080044])]","[array([0.83251063, 0.6409052 ])]","[array([0.58070869, 0.73766833])]",1.187054803071844,-8.633073425133546,None
nl722343.dat,"[0.1, 0.3]","[array([0.00446395, 0.0051919 ])]","[array([-0.05286619, -0.04733708])]","[array([0.87271733, 0.64608697])]","[array([0.6834338 , 0.71670857])]",1.2654788545956783,-8.644082892884338,None
ds21.dat,"[0.1, 0.3]","[array([0.00513883, 0.00462705])]","[array([-0.05340911, -0.05109559])]","[array([0.75254934, 0.62741532])]","[array([0.43063759, 0.79505939])]",1.2755046157545817,-8.648359765543983,None
hq2195.dat,"[0.1, 0.3]","[array([0.00531748, 0.00470543])]","[array([-0.06867723, -0.0702629 ])]","[array([0.78955813, 0.75036019])]","[array([0.40868564, 0.67251229])]",1.3732911219342585,-8.775049405005728,None
rg1495.dat,"[0.1, 0.3]","[array([0.00458356, 0.00470366])]","[array([-0.04268166, -0.03780297])]","[array([0.75188824, 0.6043708 ])]","[array([0.65485012, 0.88455115])]",1.2483617808902834,-8.856327244556416,None
du8608418.dat,"[0.1, 0.3]","[array([0.00427515, 0.00428825])]","[array([-0.01846886, -0.01570909])]","[array([0.79754108, 0.70968934])]","[array([0.88255247, 0.91487367])]",0.9159250981686315,-8.879136872458496,None
hq159.dat,"[0.1, 0.3]","[array([0.00460437, 0.00457728])]","[array([-0.04509108, -0.04479288])]","[array([0.76527646, 0.68772733])]","[array([0.64295476, 0.74959474])]",1.0817327628769082,-8.930368497132267,None
